ID RUAS,Nama Jalan,NO RUAS,STA FROM,RUAS KIRI,RUAS KANAN,RUAS KIRI,RUAS KANAN
2203411-1150,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+500,74.7,88.0,4.8,3.9
2203411-1160,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+600,83.9,90.3,4.6,3.8
2203411-1170,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+700,72.7,95.9,5.4,3.9
2203411-1180,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+800,77.0,91.8,5.2,3.8
2203411-1190,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+900,78.3,98.7,6.5,3.5
2203411-1200,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+000,100.0,94.6,4.9,3.8
2203411-1210,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+100,99.8,97.1,4.7,3.8
2203411-1220,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+200,100.0,95.5,5.1,4.5
2203411-1230,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+300,100.0,97.7,4.8,4.6
2203411-1240,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+400,98.7,79.8,4.5,4.5
2203411-1250,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+500,98.6,81.5,4.5,4.1
2203411-1260,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+600,98.7,81.4,4.3,4.3
2203411-1270,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+700,99.6,81.7,4.2,4.4
2203411-1280,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+800,97.3,81.0,6.6,5.4
2203411-1290,JLN. SUKARNO - HATTA (BANDUNG),2203411,012+900,99.2,81.5,7.5,7.8
2203411-1300,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+000,98.5,74.7,4.6,4.2
2203411-1310,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+100,99.3,80.9,4.7,4.0
2203411-1320,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+200,100.0,80.9,4.9,5.4
2203411-1330,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+300,98.7,81.2,5.4,5.0
2203411-1340,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+400,95.7,84.2,8.3,6.5
2203411-1350,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+500,100.0,97.6,4.8,3.6
2203411-1360,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+600,98.7,97.6,4.7,3.8
2203411-1370,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+700,91.8,96.5,4.9,3.8
2203411-1380,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+800,96.4,98.6,5.3,4.3
2203411-1390,JLN. SUKARNO - HATTA (BANDUNG),2203411,013+900,100.0,98.0,6.0,4.0
2203411-1400,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+000,84.3,87.3,6.9,4.2
2203411-1410,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+100,75.8,92.1,4.7,4.0
2203411-1420,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+200,84.0,77.1,7.4,7.2
2203411-1430,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+300,88.8,96.7,4.5,5.9
2203411-1440,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+400,81.3,97.2,3.9,3.8
2203411-1450,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+500,81.4,94.5,8.4,5.9
2203411-1460,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+600,96.5,98.2,5.2,6.4
2203411-1470,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+700,95.3,98.2,5.1,4.5
2203411-1480,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+800,84.7,95.9,4.8,5.0
2203411-1490,JLN. SUKARNO - HATTA (BANDUNG),2203411,014+900,98.1,97.0,4.8,4.9
2203411-1500,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+000,98.7,98.2,4.6,4.9
2203411-1510,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+100,95.7,98.2,5.0,4.9
2203411-1520,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+200,96.5,99.0,6.4,5.9
2203411-1530,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+300,97.3,97.0,5.9,4.4
2203411-1540,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+400,98.7,97.1,5.2,4.5
2203411-1550,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+500,96.6,96.9,6.4,5.6
2203411-1560,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+600,97.3,98.2,4.2,4.5
2203411-1570,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+700,95.7,97.5,6.2,6.5
2203411-1580,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+800,98.1,94.7,4.0,6.7
2203411-1590,JLN. SUKARNO - HATTA (BANDUNG),2203411,015+900,96.4,95.8,4.1,5.5
2203411-1600,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+000,98.1,97.6,4.2,5.9
2203411-1610,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+100,98.7,95.9,4.1,5.0
2203411-1620,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+200,98.1,87.1,4.4,6.2
2203411-1630,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+300,100.0,95.9,4.4,5.3
2203411-1640,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+400,99.6,98.7,4.2,5.2
2203411-1650,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+500,90.6,97.1,4.8,5.8
2203411-1660,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+600,99.3,97.7,4.1,5.4
2203411-1670,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+700,100.0,95.5,3.9,5.7
2203411-1680,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+800,98.1,99.3,4.1,5.7
2203411-1690,JLN. SUKARNO - HATTA (BANDUNG),2203411,016+900,96.3,97.5,5.5,5.4
2203411-1700,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+000,98.7,98.2,5.1,5.6
2203411-1710,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+100,98.1,95.3,4.9,5.3
2203411-1720,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+200,98.1,97.9,5.8,5.8
2203411-1730,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+300,99.6,95.7,5.4,5.3
2203411-1740,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+400,97.6,94.7,5.5,5.1
2203411-1750,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+500,99.3,97.2,5.4,5.1
2203411-1760,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+600,97.3,95.5,5.4,4.1
2203411-1770,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+700,94.3,94.0,4.5,4.3
2203411-1780,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+800,99.1,98.5,5.0,5.8
2203411-1790,JLN. SUKARNO - HATTA (BANDUNG),2203411,017+900,98.7,98.7,4.3,4.3
2203411-1800,JLN. SUKARNO - HATTA (BANDUNG),2203411,018+000,98.1,99.3,4.8,5.0
2203411-1810,JLN. SUKARNO - HATTA (BANDUNG),2203411,018+100,88.9,87.5,5.5,5.5
2203411-1820,JLN. SUKARNO - HATTA (BANDUNG),2203411,018+200,95.5,98.1,9.2,4.2
2203411-1830,JLN. SUKARNO - HATTA (BANDUNG),2203411,018+300,82.7,90.1,7.3,7.7
2203511-0,JLN. GEDE BAGE (BANDUNG),2203511,000+000,96.1,91.7,6.7,4.9
2203511-10,JLN. GEDE BAGE (BANDUNG),2203511,000+100,83.7,91.9,5.9,5.4
2203511-20,JLN. GEDE BAGE (BANDUNG),2203511,000+200,74.9,100.0,5.4,5.1
2203511-30,JLN. GEDE BAGE (BANDUNG),2203511,000+300,81.5,98.9,6.2,5.0
2203511-40,JLN. GEDE BAGE (BANDUNG),2203511,000+400,87.9,98.1,11.3,9.0
2203511-50,JLN. GEDE BAGE (BANDUNG),2203511,000+500,100.0,100.0,11.7,7.2
22104-0,CIMAREME - BATUJAJAR,22104,000+000,100.0,85.0,4.2,7.9
22104-10,CIMAREME - BATUJAJAR,22104,000+100,100.0,87.4,4.4,3.7
22104-20,CIMAREME - BATUJAJAR,22104,000+200,86.8,85.0,4.2,4.3
22104-30,CIMAREME - BATUJAJAR,22104,000+300,100.0,89.2,3.8,5.6
22104-40,CIMAREME - BATUJAJAR,22104,000+400,100.0,59.1,4.8,5.7
22104-50,CIMAREME - BATUJAJAR,22104,000+500,100.0,64.1,4.4,4.9
22104-60,CIMAREME - BATUJAJAR,22104,000+600,100.0,62.2,4.0,5.1
22104-70,CIMAREME - BATUJAJAR,22104,000+700,100.0,89.2,4.2,3.9
22104-80,CIMAREME - BATUJAJAR,22104,000+800,100.0,88.2,3.7,4.3
22104-90,CIMAREME - BATUJAJAR,22104,000+900,100.0,90.3,4.4,4.8
22104-100,CIMAREME - BATUJAJAR,22104,001+000,100.0,86.0,4.2,4.3
22104-110,CIMAREME - BATUJAJAR,22104,001+100,99.5,64.1,5.4,5.8
22104-120,CIMAREME - BATUJAJAR,22104,001+200,100.0,49.2,5.2,7.8
22104-130,CIMAREME - BATUJAJAR,22104,001+300,97.4,43.8,6.0,7.7
22104-140,CIMAREME - BATUJAJAR,22104,001+400,96.3,45.3,6.1,7.2
22104-150,CIMAREME - BATUJAJAR,22104,001+500,98.0,62.2,4.8,8.2
22104-160,CIMAREME - BATUJAJAR,22104,001+600,100.0,66.3,4.7,5.4
22104-170,CIMAREME - BATUJAJAR,22104,001+700,100.0,96.7,5.0,6.5
22104-180,CIMAREME - BATUJAJAR,22104,001+800,100.0,64.1,4.3,4.3
22104-190,CIMAREME - BATUJAJAR,22104,001+900,100.0,89.2,4.3,4.0
22104-200,CIMAREME - BATUJAJAR,22104,002+000,100.0,86.0,4.4,4.1
22104-210,CIMAREME - BATUJAJAR,22104,002+100,100.0,87.4,4.9,4.7
22104-220,CIMAREME - BATUJAJAR,22104,002+200,100.0,66.3,3.9,8.1
22104-230,CIMAREME - BATUJAJAR,22104,002+300,80.7,59.5,5.1,5.2
22104-240,CIMAREME - BATUJAJAR,22104,002+400,95.0,64.1,4.0,7.6
22104-250,CIMAREME - BATUJAJAR,22104,002+500,65.9,40.3,6.3,8.7
22104-260,CIMAREME - BATUJAJAR,22104,002+600,92.4,62.2,6.2,7.5
22104-270,CIMAREME - BATUJAJAR,22104,002+700,95.2,59.1,5.6,7.9
22104-280,CIMAREME - BATUJAJAR,22104,002+800,60.0,42.2,8.2,10.0
22104-290,CIMAREME - BATUJAJAR,22104,002+900,100.0,64.1,5.5,6.1
22104-300,CIMAREME - BATUJAJAR,22104,003+000,93.0,85.5,4.9,5.9
22104-310,CIMAREME - BATUJAJAR,22104,003+100,100.0,69.1,4.3,7.9
22104-320,CIMAREME - BATUJAJAR,22104,003+200,100.0,57.8,4.0,4.9
22104-330,CIMAREME - BATUJAJAR,22104,003+300,100.0,86.0,3.7,5.9
22104-340,CIMAREME - BATUJAJAR,22104,003+400,100.0,90.3,3.6,4.4
22104-350,CIMAREME - BATUJAJAR,22104,003+500,100.0,64.1,3.6,6.2
22104-360,CIMAREME - BATUJAJAR,22104,003+600,100.0,89.2,3.7,4.4
22104-370,CIMAREME - BATUJAJAR,22104,003+700,100.0,88.2,3.9,5.5
22104-380,CIMAREME - BATUJAJAR,22104,003+800,100.0,56.0,4.2,6.4
22104-390,CIMAREME - BATUJAJAR,22104,003+900,100.0,62.2,4.2,6.4
22104-400,CIMAREME - BATUJAJAR,22104,004+000,100.0,64.1,3.4,6.8
22104-410,CIMAREME - BATUJAJAR,22104,004+100,100.0,54.4,5.0,7.5
22104-420,CIMAREME - BATUJAJAR,22104,004+200,100.0,64.1,5.1,7.1
22104-430,CIMAREME - BATUJAJAR,22104,004+300,100.0,66.3,5.2,6.1
22104-440,CIMAREME - BATUJAJAR,22104,004+400,100.0,68.6,3.9,6.0
22104-450,CIMAREME - BATUJAJAR,22104,004+500,90.6,60.6,6.3,4.4
22104-460,CIMAREME - BATUJAJAR,22104,004+600,100.0,68.6,4.5,6.2
22104-470,CIMAREME - BATUJAJAR,22104,004+700,99.7,59.1,5.4,6.1
22104-480,CIMAREME - BATUJAJAR,22104,004+800,100.0,66.3,5.4,5.9
22104-490,CIMAREME - BATUJAJAR,22104,004+900,100.0,90.3,5.8,6.2
22104-500,CIMAREME - BATUJAJAR,22104,005+000,100.0,68.6,5.5,7.8
22104-510,CIMAREME - BATUJAJAR,22104,005+100,100.0,56.8,5.8,6.0
22104-520,CIMAREME - BATUJAJAR,22104,005+200,100.0,66.3,5.0,4.6
22104-530,CIMAREME - BATUJAJAR,22104,005+300,100.0,90.3,4.8,4.2
22104-540,CIMAREME - BATUJAJAR,22104,005+400,100.0,68.6,5.2,7.4
22104-550,CIMAREME - BATUJAJAR,22104,005+500,100.0,92.8,4.8,4.5
22104-560,CIMAREME - BATUJAJAR,22104,005+600,100.0,90.3,4.5,4.5
22104-570,CIMAREME - BATUJAJAR,22104,005+700,100.0,64.1,4.3,4.2
22104-580,CIMAREME - BATUJAJAR,22104,005+800,99.5,60.6,4.9,5.0
22104-590,CIMAREME - BATUJAJAR,22104,005+900,100.0,62.2,4.1,6.2
22104-600,CIMAREME - BATUJAJAR,22104,006+000,79.7,89.2,4.2,4.7
22104-610,CIMAREME - BATUJAJAR,22104,006+100,100.0,64.1,3.8,5.7
22104-620,CIMAREME - BATUJAJAR,22104,006+200,100.0,60.6,4.8,7.6
22104-630,CIMAREME - BATUJAJAR,22104,006+300,76.0,85.5,5.1,5.4
22104-640,CIMAREME - BATUJAJAR,22104,006+400,100.0,91.5,4.6,6.2
22104-650,CIMAREME - BATUJAJAR,22104,006+500,100.0,57.8,4.2,6.8
22104-660,CIMAREME - BATUJAJAR,22104,006+600,100.0,60.6,4.9,6.0
22104-670,CIMAREME - BATUJAJAR,22104,006+700,100.0,56.8,3.8,5.8
22104-680,CIMAREME - BATUJAJAR,22104,006+800,100.0,90.3,3.3,4.1
22104-690,CIMAREME - BATUJAJAR,22104,006+900,100.0,64.1,3.3,4.9
22104-700,CIMAREME - BATUJAJAR,22104,007+000,100.0,88.2,4.9,4.8
22104-710,CIMAREME - BATUJAJAR,22104,007+100,100.0,62.2,4.1,8.0
22104-720,CIMAREME - BATUJAJAR,22104,007+200,100.0,66.3,3.9,7.6
22104-730,CIMAREME - BATUJAJAR,22104,007+300,100.0,88.7,3.9,4.6
22104-740,CIMAREME - BATUJAJAR,22104,007+400,100.0,86.6,4.1,6.6
22104-750,CIMAREME - BATUJAJAR,22104,007+500,100.0,68.6,4.2,6.2
22104-760,CIMAREME - BATUJAJAR,22104,007+600,100.0,88.2,4.3,3.8
22104-770,CIMAREME - BATUJAJAR,22104,007+700,100.0,67.7,6.7,6.4
22104-780,CIMAREME - BATUJAJAR,22104,007+800,100.0,84.5,6.3,7.4
22104-790,CIMAREME - BATUJAJAR,22104,007+900,100.0,71.6,5.6,7.9
22104-800,CIMAREME - BATUJAJAR,22104,008+000,99.5,75.1,5.8,7.7
22104-810,CIMAREME - BATUJAJAR,22104,008+100,91.0,63.6,6.9,8.0
22104-820,CIMAREME - BATUJAJAR,22104,008+200,91.0,46.4,6.2,9.3
22104-830,CIMAREME - BATUJAJAR,22104,008+300,84.2,57.0,6.0,7.8
22104-840,CIMAREME - BATUJAJAR,22104,008+400,100.0,62.2,4.9,4.2
22104-850,CIMAREME - BATUJAJAR,22104,008+500,100.0,69.7,6.0,5.8
22104-860,CIMAREME - BATUJAJAR,22104,008+600,100.0,57.9,5.8,5.8
22104-870,CIMAREME - BATUJAJAR,22104,008+700,100.0,62.6,6.3,5.5
22104-880,CIMAREME - BATUJAJAR,22104,008+800,100.0,67.2,5.5,8.9
22104-890,CIMAREME - BATUJAJAR,22104,008+900,100.0,66.3,5.4,8.1
22104-900,CIMAREME - BATUJAJAR,22104,009+000,100.0,62.2,6.7,7.5
22104-910,CIMAREME - BATUJAJAR,22104,009+100,93.4,42.7,5.7,9.2
22104-920,CIMAREME - BATUJAJAR,22104,009+200,100.0,54.7,5.7,11.6
22104-930,CIMAREME - BATUJAJAR,22104,009+300,100.0,53.2,5.2,11.0
22104-940,CIMAREME - BATUJAJAR,22104,009+400,100.0,57.8,4.2,6.9
22104-950,CIMAREME - BATUJAJAR,22104,009+500,100.0,55.8,4.5,7.8
22105-0,BATUJAJAR - SOREANG,22105,000+000,81.5,41.6,5.8,7.9
22105-10,BATUJAJAR - SOREANG,22105,000+100,81.5,68.6,4.8,5.3
22105-20,BATUJAJAR - SOREANG,22105,000+200,86.4,69.9,5.9,6.2
22105-30,BATUJAJAR - SOREANG,22105,000+300,94.5,65.6,5.4,4.5
22105-40,BATUJAJAR - SOREANG,22105,000+400,100.0,67.6,4.8,7.9
22105-50,BATUJAJAR - SOREANG,22105,000+500,100.0,62.8,4.1,6.1
22105-60,BATUJAJAR - SOREANG,22105,000+600,100.0,64.4,3.9,7.9
22105-70,BATUJAJAR - SOREANG,22105,000+700,86.5,65.6,6.0,6.7
22105-80,BATUJAJAR - SOREANG,22105,000+800,81.3,64.1,5.8,6.0
22105-90,BATUJAJAR - SOREANG,22105,000+900,80.9,100.0,6.0,7.9
22105-100,BATUJAJAR - SOREANG,22105,001+000,81.9,94.9,5.8,5.5
22105-110,BATUJAJAR - SOREANG,22105,001+100,87.7,94.8,5.9,6.4
22105-120,BATUJAJAR - SOREANG,22105,001+200,100.0,64.1,3.7,4.9
22105-130,BATUJAJAR - SOREANG,22105,001+300,100.0,62.5,4.2,6.4
22105-140,BATUJAJAR - SOREANG,22105,001+400,100.0,63.6,4.8,7.3
22105-150,BATUJAJAR - SOREANG,22105,001+500,100.0,65.2,4.6,6.5
22105-160,BATUJAJAR - SOREANG,22105,001+600,81.9,62.8,6.0,5.6
22105-170,BATUJAJAR - SOREANG,22105,001+700,81.9,63.9,5.0,5.3
22105-180,BATUJAJAR - SOREANG,22105,001+800,81.9,65.6,6.3,7.0
22105-190,BATUJAJAR - SOREANG,22105,001+900,81.9,65.6,5.7,7.8
22105-200,BATUJAJAR - SOREANG,22105,002+000,81.9,96.0,5.9,5.7
22105-210,BATUJAJAR - SOREANG,22105,002+100,81.9,64.4,5.6,7.5
22105-220,BATUJAJAR - SOREANG,22105,002+200,81.9,49.2,5.4,7.7
22105-230,BATUJAJAR - SOREANG,22105,002+300,83.6,65.5,6.4,8.2
22105-240,BATUJAJAR - SOREANG,22105,002+400,80.4,44.5,5.7,5.2
22105-250,BATUJAJAR - SOREANG,22105,002+500,83.1,64.4,5.3,6.9
22105-260,BATUJAJAR - SOREANG,22105,002+600,98.2,87.6,4.6,6.7
22105-270,BATUJAJAR - SOREANG,22105,002+700,76.1,62.2,4.3,7.1
22105-280,BATUJAJAR - SOREANG,22105,002+800,81.4,65.6,4.8,5.4
22105-290,BATUJAJAR - SOREANG,22105,002+900,87.4,65.3,4.1,5.2
22105-300,BATUJAJAR - SOREANG,22105,003+000,82.3,53.1,4.7,6.7
22105-310,BATUJAJAR - SOREANG,22105,003+100,82.5,65.1,4.7,5.9
22105-320,BATUJAJAR - SOREANG,22105,003+200,91.3,51.6,5.1,5.8
22105-330,BATUJAJAR - SOREANG,22105,003+300,100.0,91.3,5.3,3.9
22105-340,BATUJAJAR - SOREANG,22105,003+400,100.0,94.6,5.0,4.2
22105-350,BATUJAJAR - SOREANG,22105,003+500,100.0,63.6,5.7,5.2
22105-360,BATUJAJAR - SOREANG,22105,003+600,100.0,62.8,4.7,5.9
22105-370,BATUJAJAR - SOREANG,22105,003+700,77.5,48.0,4.9,7.3
22105-380,BATUJAJAR - SOREANG,22105,003+800,80.9,92.1,4.8,6.0
22105-390,BATUJAJAR - SOREANG,22105,003+900,71.1,94.2,4.8,3.8
22105-400,BATUJAJAR - SOREANG,22105,004+000,62.9,74.8,5.3,7.0
22105-410,BATUJAJAR - SOREANG,22105,004+100,89.1,97.1,4.3,6.6
22105-420,BATUJAJAR - SOREANG,22105,004+200,67.5,57.1,5.0,5.0
22105-430,BATUJAJAR - SOREANG,22105,004+300,91.0,96.1,4.8,7.2
22105-440,BATUJAJAR - SOREANG,22105,004+400,89.8,83.1,4.3,3.5
22105-450,BATUJAJAR - SOREANG,22105,004+500,91.5,70.1,4.1,5.2
22105-460,BATUJAJAR - SOREANG,22105,004+600,81.1,80.7,4.5,5.5
22105-470,BATUJAJAR - SOREANG,22105,004+700,84.2,93.1,4.6,4.1
22105-480,BATUJAJAR - SOREANG,22105,004+800,74.5,87.6,4.8,5.2
22105-490,BATUJAJAR - SOREANG,22105,004+900,81.2,95.4,4.5,4.1
22105-500,BATUJAJAR - SOREANG,22105,005+000,82.5,68.4,4.3,6.2
22105-510,BATUJAJAR - SOREANG,22105,005+100,86.5,69.1,4.8,5.7
22105-520,BATUJAJAR - SOREANG,22105,005+200,89.6,92.4,5.0,4.9
22105-530,BATUJAJAR - SOREANG,22105,005+300,85.7,94.4,6.2,3.7
22105-540,BATUJAJAR - SOREANG,22105,005+400,95.8,91.6,5.2,4.0
22105-550,BATUJAJAR - SOREANG,22105,005+500,87.4,84.3,3.9,3.8
22105-560,BATUJAJAR - SOREANG,22105,005+600,93.9,87.4,4.1,4.1
22105-570,BATUJAJAR - SOREANG,22105,005+700,100.0,86.1,4.6,3.6
22105-580,BATUJAJAR - SOREANG,22105,005+800,90.6,60.7,4.3,5.2
22105-590,BATUJAJAR - SOREANG,22105,005+900,91.5,91.2,4.3,5.0
22105-600,BATUJAJAR - SOREANG,22105,006+000,91.1,98.7,5.4,6.4
22105-610,BATUJAJAR - SOREANG,22105,006+100,91.3,95.9,4.9,5.7
22105-620,BATUJAJAR - SOREANG,22105,006+200,90.9,92.8,4.1,4.0
22105-630,BATUJAJAR - SOREANG,22105,006+300,100.0,93.3,3.8,4.3
22105-640,BATUJAJAR - SOREANG,22105,006+400,89.0,90.0,4.3,4.0
22105-650,BATUJAJAR - SOREANG,22105,006+500,100.0,81.4,4.3,4.7
22105-660,BATUJAJAR - SOREANG,22105,006+600,100.0,68.9,4.7,4.6
22105-670,BATUJAJAR - SOREANG,22105,006+700,100.0,80.7,4.1,4.0
22105-680,BATUJAJAR - SOREANG,22105,006+800,90.3,90.9,3.9,4.5
22105-690,BATUJAJAR - SOREANG,22105,006+900,69.4,97.4,4.9,7.7
22105-700,BATUJAJAR - SOREANG,22105,007+000,100.0,76.3,4.3,6.1
22105-710,BATUJAJAR - SOREANG,22105,007+100,85.3,71.4,5.1,7.7
22105-720,BATUJAJAR - SOREANG,22105,007+200,86.8,86.2,5.3,5.7
22105-730,BATUJAJAR - SOREANG,22105,007+300,100.0,69.2,6.6,6.7
22105-740,BATUJAJAR - SOREANG,22105,007+400,100.0,77.4,4.9,7.9
22105-750,BATUJAJAR - SOREANG,22105,007+500,100.0,93.9,4.0,4.7
22105-760,BATUJAJAR - SOREANG,22105,007+600,84.7,90.8,3.7,6.9
22105-770,BATUJAJAR - SOREANG,22105,007+700,80.8,91.1,4.1,5.6
22105-780,BATUJAJAR - SOREANG,22105,007+800,100.0,59.7,4.2,5.6
22105-790,BATUJAJAR - SOREANG,22105,007+900,100.0,59.7,4.6,5.6
22105-800,BATUJAJAR - SOREANG,22105,008+000,75.6,76.9,3.8,6.1
22105-810,BATUJAJAR - SOREANG,22105,008+100,84.5,80.1,4.5,6.0
22105-820,BATUJAJAR - SOREANG,22105,008+200,94.8,69.1,5.4,5.5
22105-830,BATUJAJAR - SOREANG,22105,008+300,81.2,64.0,5.2,7.9
22105-840,BATUJAJAR - SOREANG,22105,008+400,85.3,68.0,6.3,6.6
22105-850,BATUJAJAR - SOREANG,22105,008+500,85.5,65.1,5.9,9.0
22105-860,BATUJAJAR - SOREANG,22105,008+600,76.8,59.8,4.7,10.0
22105-870,BATUJAJAR - SOREANG,22105,008+700,78.5,70.5,4.8,7.4
22105-880,BATUJAJAR - SOREANG,22105,008+800,68.8,63.8,5.3,7.1
22105-890,BATUJAJAR - SOREANG,22105,008+900,62.8,72.4,5.1,6.1
22105-900,BATUJAJAR - SOREANG,22105,009+000,88.8,64.7,5.0,7.4
22105-910,BATUJAJAR - SOREANG,22105,009+100,73.9,60.3,4.7,7.3
22105-920,BATUJAJAR - SOREANG,22105,009+200,76.4,76.6,4.9,7.3
22105-930,BATUJAJAR - SOREANG,22105,009+300,76.4,68.4,4.9,7.8
22105-940,BATUJAJAR - SOREANG,22105,009+400,75.7,88.4,5.3,7.1
22105-950,BATUJAJAR - SOREANG,22105,009+500,81.3,81.7,5.6,4.1
22105-960,BATUJAJAR - SOREANG,22105,009+600,86.8,88.3,4.6,3.5
22105-970,BATUJAJAR - SOREANG,22105,009+700,88.0,91.0,4.4,4.6
22105-980,BATUJAJAR - SOREANG,22105,009+800,76.8,57.3,4.0,5.7
22105-990,BATUJAJAR - SOREANG,22105,009+900,100.0,70.2,4.2,4.6
22105-1000,BATUJAJAR - SOREANG,22105,010+000,78.8,59.4,4.1,7.4
22105-1010,BATUJAJAR - SOREANG,22105,010+100,74.8,79.3,5.8,7.8
22105-1020,BATUJAJAR - SOREANG,22105,010+200,86.1,68.9,4.1,5.6
22105-1030,BATUJAJAR - SOREANG,22105,010+300,85.1,88.5,5.2,7.6
22105-1040,BATUJAJAR - SOREANG,22105,010+400,72.9,83.9,5.3,4.3
22105-1050,BATUJAJAR - SOREANG,22105,010+500,90.8,80.5,5.2,6.3
22105-1060,BATUJAJAR - SOREANG,22105,010+600,65.3,38.5,5.7,10.8
22105-1070,BATUJAJAR - SOREANG,22105,010+700,86.9,66.1,5.6,6.8
22105-1080,BATUJAJAR - SOREANG,22105,010+800,83.6,70.8,5.6,5.4
22105-1090,BATUJAJAR - SOREANG,22105,010+900,81.9,85.9,4.9,4.4
22105-1100,BATUJAJAR - SOREANG,22105,011+000,90.5,79.4,4.6,7.1
22105-1110,BATUJAJAR - SOREANG,22105,011+100,77.2,61.4,4.4,6.7
22105-1120,BATUJAJAR - SOREANG,22105,011+200,75.2,62.6,4.2,6.4
22105-1130,BATUJAJAR - SOREANG,22105,011+300,77.3,72.3,5.8,6.8
22105-1140,BATUJAJAR - SOREANG,22105,011+400,87.6,97.2,5.0,5.1
22105-1150,BATUJAJAR - SOREANG,22105,011+500,84.5,81.5,4.5,6.1
22105-1160,BATUJAJAR - SOREANG,22105,011+600,76.5,67.0,5.5,7.2
22105-1170,BATUJAJAR - SOREANG,22105,011+700,60.0,52.7,5.9,8.6
22105-1180,BATUJAJAR - SOREANG,22105,011+800,89.8,65.9,6.6,7.3
22105-1190,BATUJAJAR - SOREANG,22105,011+900,74.4,44.4,5.8,9.3
22105-1200,BATUJAJAR - SOREANG,22105,012+000,70.7,51.2,6.1,9.1
22105-1210,BATUJAJAR - SOREANG,22105,012+100,70.0,65.2,6.1,10.4
22105-1220,BATUJAJAR - SOREANG,22105,012+200,56.8,50.1,6.0,10.2
22105-1230,BATUJAJAR - SOREANG,22105,012+300,66.2,59.8,6.4,7.8
22105-1240,BATUJAJAR - SOREANG,22105,012+400,69.7,45.1,6.1,9.7
22105-1250,BATUJAJAR - SOREANG,22105,012+500,80.0,62.7,5.6,5.3
