ID RUAS,Nama Jalan,NO RUAS,STA FROM,RUAS KIRI,RUAS KANAN,RUAS KIRI,RUAS KANAN
2203312-200,JLN. RAYA CIMAHI (CIMAHI),2203312,002+000,100.0,84.6,3.5,3.7
2203312-210,JLN. RAYA CIMAHI (CIMAHI),2203312,002+100,100.0,84.6,3.6,3.4
2203312-220,JLN. RAYA CIMAHI (CIMAHI),2203312,002+200,100.0,84.7,4.1,3.8
2203312-230,JLN. RAYA CIMAHI (CIMAHI),2203312,002+300,100.0,84.5,4.5,4.0
2203312-240,JLN. RAYA CIMAHI (CIMAHI),2203312,002+400,100.0,84.5,3.5,4.3
2203313-0,JLN. RAYA CIBABAT (CIMAHI),2203313,000+000,77.6,100.0,4.3,4.2
2203313-10,JLN. RAYA CIBABAT (CIMAHI),2203313,000+100,76.8,73.8,4.3,6.6
2203313-20,JLN. RAYA CIBABAT (CIMAHI),2203313,000+200,77.5,85.2,3.9,4.2
2203313-30,JLN. RAYA CIBABAT (CIMAHI),2203313,000+300,77.2,83.6,3.9,4.0
2203313-40,JLN. RAYA CIBABAT (CIMAHI),2203313,000+400,77.9,78.2,4.9,4.9
2203313-50,JLN. RAYA CIBABAT (CIMAHI),2203313,000+500,76.7,76.4,4.1,4.0
2203313-60,JLN. RAYA CIBABAT (CIMAHI),2203313,000+600,77.7,82.4,4.2,4.0
2203313-70,JLN. RAYA CIBABAT (CIMAHI),2203313,000+700,83.1,69.3,4.0,4.0
2203313-80,JLN. RAYA CIBABAT (CIMAHI),2203313,000+800,78.5,82.5,4.0,4.1
2203313-90,JLN. RAYA CIBABAT (CIMAHI),2203313,000+900,78.5,82.1,4.2,4.2
2203313-100,JLN. RAYA CIBABAT (CIMAHI),2203313,001+000,76.7,83.0,3.9,3.9
2203313-110,JLN. RAYA CIBABAT (CIMAHI),2203313,001+100,82.6,81.4,4.1,4.0
2203313-120,JLN. RAYA CIBABAT (CIMAHI),2203313,001+200,84.3,82.9,4.2,4.1
2203313-130,JLN. RAYA CIBABAT (CIMAHI),2203313,001+300,88.9,73.9,4.2,4.7
2203313-140,JLN. RAYA CIBABAT (CIMAHI),2203313,001+400,86.5,75.7,4.3,4.4
2203313-150,JLN. RAYA CIBABAT (CIMAHI),2203313,001+500,79.4,74.7,4.8,4.6
2203313-160,JLN. RAYA CIBABAT (CIMAHI),2203313,001+600,84.1,77.2,4.2,4.1
2203313-170,JLN. RAYA CIBABAT (CIMAHI),2203313,001+700,87.0,79.4,4.1,4.2
2203313-180,JLN. RAYA CIBABAT (CIMAHI),2203313,001+800,92.2,75.7,4.4,4.2
2203314-0,JLN. CIBEUREUM (BANDUNG),2203314,000+000,93.6,93.0,3.8,3.9
2203314-10,JLN. CIBEUREUM (BANDUNG),2203314,000+100,89.6,91.0,3.4,4.4
2203314-20,JLN. CIBEUREUM (BANDUNG),2203314,000+200,80.6,86.7,3.7,3.9
2203314-30,JLN. CIBEUREUM (BANDUNG),2203314,000+300,86.4,85.1,4.7,4.1
2203314-40,JLN. CIBEUREUM (BANDUNG),2203314,000+400,92.6,88.4,5.3,3.8
2203314-50,JLN. CIBEUREUM (BANDUNG),2203314,000+500,84.4,98.4,3.6,4.2
2203314-60,JLN. CIBEUREUM (BANDUNG),2203314,000+600,85.9,99.2,4.2,3.7
2203314-70,JLN. CIBEUREUM (BANDUNG),2203314,000+700,93.5,94.5,3.9,4.0
2203314-80,JLN. CIBEUREUM (BANDUNG),2203314,000+800,86.0,93.3,3.8,3.6
2203314-90,JLN. CIBEUREUM (BANDUNG),2203314,000+900,82.6,93.7,3.5,3.9
2203314-100,JLN. CIBEUREUM (BANDUNG),2203314,001+000,84.0,91.0,3.8,3.7
2203314-110,JLN. CIBEUREUM (BANDUNG),2203314,001+100,81.9,97.2,3.5,3.6
2203314-120,JLN. CIBEUREUM (BANDUNG),2203314,001+200,82.6,92.2,3.5,3.6
2203314-130,JLN. CIBEUREUM (BANDUNG),2203314,001+300,85.6,98.8,3.6,4.1
2203314-140,JLN. CIBEUREUM (BANDUNG),2203314,001+400,77.1,89.8,4.7,4.1
2203314-150,JLN. CIBEUREUM (BANDUNG),2203314,001+500,70.9,72.5,4.0,4.9
2203314-160,JLN. CIBEUREUM (BANDUNG),2203314,001+600,66.7,80.8,4.1,3.8
2203314-170,JLN. CIBEUREUM (BANDUNG),2203314,001+700,84.3,98.7,3.8,3.7
2203314-180,JLN. CIBEUREUM (BANDUNG),2203314,001+800,85.3,98.0,4.0,3.6
2203314-190,JLN. CIBEUREUM (BANDUNG),2203314,001+900,73.6,92.1,5.3,5.7
2203314-200,JLN. CIBEUREUM (BANDUNG),2203314,002+000,64.7,97.0,4.7,4.0
2203314-210,JLN. CIBEUREUM (BANDUNG),2203314,002+100,51.8,83.0,4.4,4.0
2203314-220,JLN. CIBEUREUM (BANDUNG),2203314,002+200,77.7,79.5,3.9,3.5
2203314-230,JLN. CIBEUREUM (BANDUNG),2203314,002+300,79.3,80.9,3.6,3.6
2203314-240,JLN. CIBEUREUM (BANDUNG),2203314,002+400,81.1,79.5,3.5,3.7
2203314-250,JLN. CIBEUREUM (BANDUNG),2203314,002+500,82.3,77.3,3.6,3.5
2203314-260,JLN. CIBEUREUM (BANDUNG),2203314,002+600,82.5,75.0,3.8,4.2
2203314-270,JLN. CIBEUREUM (BANDUNG),2203314,002+700,80.3,84.3,4.4,4.4
2203317-40,JLN. NURTANIO (BANDUNG),2203317,000+400,81.1,95.5,5.0,6.0
2203317-50,JLN. NURTANIO (BANDUNG),2203317,000+500,92.4,100.0,3.9,4.3
